"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"F181494","JULY 26 PO289","60120251753302","Delivered","16/07/2026","12:39","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - EXETER","01827280880","EX4 3RP"
"F181494","JULY 26 PO289","60120251753581","Delivered","16/07/2026","12:34","1","1","Parcels","Next day","14/07/2026","FB BROUGHTON","01827280880","CH4 0DP"
"F181494","JULY 26 PO289","60120251753332","Delivered","15/07/2026","15:50","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - MANSFIELD","01827280880","NG18 1BU"
"F181494","JULY 26 PO289","60120251753580","Delivered","16/07/2026","11:27","1","1","Parcels","48 hours","14/07/2026","FB INVERNESS","01827280880","IV2 7GD"
"F181494","JULY 26 PO289","60120251753544","Delivered","16/07/2026","10:25","1","1","Parcels","Next day","14/07/2026","FB PORTSMOUTH","01827280880","PO1 3TU"
"F181494","","60120251901553","Delivered","16/07/2026","10:00","1","3","Parcels","Next day","15/07/2026","CENTER PARCS LTD","","IP27 0YZ"
"F181494","JULY 26 PO289","60120251753576","Delivered","15/07/2026","19:07","1","1","Parcels","Next day","14/07/2026","FB RENFREW","01827280880","PA4 8XQ"
"F181494","JULY 26 PO289","60120251753480","Delivered","15/07/2026","18:16","1","1","Parcels","Next day","14/07/2026","CENTER PARCS SHERWOOD","01827280880","NG22 9DN"
"F181494","JULY 26 PO289","60120251753355","Delivered","15/07/2026","16:48","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - PORTSMOUTH","01827280880","PO1 3TA"
"F181494","KEP23 PO296","60120251695424","Delivered","15/07/2026","16:05","1","1","Parcels","Next day","14/07/2026","BANANATREE PORTSMOUTH","1827280880","PO1 3FA"
"F181494","JULY 26 PO289","60120251753527","Delivered","15/07/2026","10:34","1","1","Parcels","Next day","14/07/2026","FB LIVERPOOL SHOPPING PAR","01827280880","L13 1FA"
"F181494","JULY 26 PO289","60120251753258","Delivered","15/07/2026","17:26","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BRIGHTON M","01827280880","BN1 1HH"
"F181494","JULY 26 PO289","60120251753425","Delivered","15/07/2026","17:25","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - ST MARTIN'","01827280880","WC2N 4JS"
"F181494","JULY 26 PO289","60120251753469","Delivered","15/07/2026","17:12","1","1","Parcels","Next day","14/07/2026","CENTER PARCS ELVEDEN","01827280880","IP27 0YZ"
"F181494","JULY 26 PO289","60120251753930","Delivered","15/07/2026","17:10","1","1","Parcels","Next day","14/07/2026","FB NANT GARW","01827280880","CF15 7QX"
"F181494","JULY 26 PO289","60120251753359","Delivered","15/07/2026","17:08","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - QUEENSWAY","01827280880","W2 4QH"
"F181494","JULY 26 PO289","60120251753319","Delivered","15/07/2026","16:55","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - LAKESIDE","01827280880","RM20 2ZN"
"F181494","KEP23 PO296","60120251695413","Delivered","15/07/2026","16:51","1","1","Parcels","Next day","14/07/2026","LAS IGUANAS BRIGHTON","1827280880","BN1 1GE"
"F181494","JULY 26 PO289","60120251753473","Delivered","15/07/2026","16:37","1","1","Parcels","Next day","14/07/2026","CENTER PARCS LONGLEAT","01827280880","BA12 7PU"
"F181494","KEP23 PO296","60120251695427","Delivered","15/07/2026","16:36","1","1","Parcels","Next day","14/07/2026","LAS IGUANAS CP LONGLEAT","1827280880","BA12 7PU"
"F181494","JULY 26 PO289","60120251753435","Delivered","15/07/2026","15:51","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - STRAND","01827280880","WC2N 5LR"
"F181494","JULY 26 PO289","60120251753306","Delivered","15/07/2026","15:48","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - GATESHEAD","01827280880","NE11 9YG"
"F181494","KEP23 PO296","60120251695420","Delivered","15/07/2026","15:48","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - GATESHEAD","1827280880","NE11 9YG"
"F181494","JULY 26 PO289","60120251753532","Delivered","15/07/2026","15:37","1","1","Parcels","Next day","14/07/2026","FB NEWCASTLE","01827280880","NE1 7AP"
"F181494","JULY 26 PO289","60120251753569","Delivered","15/07/2026","15:36","1","1","Parcels","Next day","14/07/2026","FB DUNFERMLINE","01827280880","KY11 8EX"
"F181494","JULY 26 PO289","60120251753537","Delivered","15/07/2026","15:35","1","1","Parcels","Next day","14/07/2026","FB NOTTINGHAM","01827280880","NG16 2RP"
"F181494","JULY 26 PO289","60120251753342","Delivered","15/07/2026","15:35","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - NEWCASTLE","01827280880","NE1 7AP"
"F181494","JULY 26 PO289","60120251753528","Delivered","15/07/2026","15:32","1","1","Parcels","Next day","14/07/2026","FB METROCENTRE","01827280880","NE11 9XZ"
"F181494","JULY 26 PO289","60120251753317","Delivered","15/07/2026","15:26","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - IRVING STR","01827280880","WC2H 7AT"
"F181494","JULY 26 PO289","60120251753271","Delivered","15/07/2026","15:23","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BRISTOL AS","01827280880","BS15 9LA"
"F181494","JULY 26 PO289","60120251753501","Delivered","15/07/2026","15:20","1","1","Parcels","Next day","14/07/2026","FB BRISTOL CABOT CIRCUS","01827280880","BS1 3BX"
"F181494","JULY 26 PO289","60120251753293","Delivered","15/07/2026","15:18","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - CRANBOURN","01827280880","WC2H 7AJ"
"F181494","JULY 26 PO289","60120251753369","Delivered","15/07/2026","14:44","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - SHAFTESBUR","01827280880","W1D 6LQ"
"F181494","JULY 26 PO289","60120251753498","Delivered","15/07/2026","14:40","1","1","Parcels","Next day","14/07/2026","FB BIRMINGHAM RUBERY","01827280880","B45 9JL"
"F181494","JULY 26 PO289","60120251753925","Delivered","15/07/2026","14:30","1","1","Parcels","Next day","14/07/2026","FB CARDIFF ST DAVIDS","01827280880","CF10 2EF"
