"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"F181494","PO426","60120256465089","Exception","24/08/2026","08:00 - 20:00","1","1","Parcels","Next day","21/08/2026","GREEN HOUSE BELPER","01827 280880","DE56 1QA"
"F181494","PO426","60120256465101","In transit","24/08/2026","08:00 - 20:00","1","1","Parcels","Next day","21/08/2026","STAPYLTON ARMS MIDDLESBROUGH","01827 280880","TS6 9DY"
"F181494","PO426","60120256465194","In transit","24/08/2026","08:00 - 20:00","1","1","Parcels","Next day","21/08/2026","WALDORF MANCHESTER","01827 280880","M1 3AQ"
"F181494","PO426","60120256465063","Delivered","","","1","1","Parcels","Next day","21/08/2026","SADDLE INN BLACKPOOL","01827 280880","FY3 9PH"
"F181494","PO426","60120256465131","Delivered","","","1","1","Parcels","Next day","21/08/2026","FARTHINGS CASTLE BROMWICH","01827 280880","B36 0AY"
"F181494","PO426","60120256465135","Delivered","","","1","1","Parcels","Next day","21/08/2026","THREE BULLS HEADS NEWCASTLE UT","01827 280880","NE1 7RN"
"F181494","PO426","60120256465147","Delivered","","","1","1","Parcels","Next day","21/08/2026","GOOSE SELLY OAK","01827 280880","B29 6AF"
"F181494","PO426","60120256465185","Delivered","","","1","1","Parcels","Next day","21/08/2026","LEAPING SALMON BERWICK UPON TWEED","01827 280880","TD15 1BG"
"F181494","PO426","60120256465107","Delivered","","","1","1","Parcels","Next day","21/08/2026","THE SOUTHSIDER EDINBURGH","01827 280880","EH8 9EF"
"F181494","PO426","60120256465081","Delivered","","","1","1","Parcels","Next day","21/08/2026","BALLENCRIEFF BATHGATE","01827 280880","EH48 4PB"
"F181494","PO426","60120256465160","Delivered","","","1","1","Parcels","Next day","21/08/2026","OLD SMIDDY INN GLASGOW","01827 280880","G44 5TJ"
"F181494","PO426","60120256465127","Delivered","","","1","1","Parcels","Next day","21/08/2026","OASIS WASHINGTON","01827 280880","NE38 7SA"
"F181494","PO426","60120256465066","Delivered","","","1","1","Parcels","Next day","21/08/2026","YATES MANCHESTER","01827 280880","M1 3LD"
"F181494","PO426","60120256465119","Delivered","","","1","1","Parcels","Next day","21/08/2026","BOARD INN SUNDERLAND","01827 280880","SR3 3NS"
"F181494","PO426","60120256465143","Delivered","","","1","1","Parcels","Next day","21/08/2026","GOOSE WALTHAMSTOW","01827 280880","E17 3AX"
"F181494","PO426","60120256465116","Delivered","","","1","1","Parcels","Next day","21/08/2026","YATES BLACKPOOL MARKET STREET","01827 280880","FY1 1ET"
"F181494","PO426","60120256465144","Delivered","","","1","1","Parcels","Next day","21/08/2026","BECKFIELDS STOCKTON ON TEES","01827 280880","TS17 0QA"
"F181494","PO426","60120256465202","Delivered","","","1","1","Parcels","Next day","21/08/2026","CHESHIRE CHEESE LONDON","01827 280880","EC3N 2AP"
"F181494","PO426","60120256465203","Delivered","","","1","1","Parcels","Next day","21/08/2026","WINDSOR FENCHURCH","01827 280880","EC3R 7NA"
"F181494","PO426","60120256465118","Delivered","","","1","1","Parcels","Next day","21/08/2026","DUTTONS ARMS BLACKPOOL","01827 280880","FY4 1AR"
"F181494","PO426","60120256465106","Delivered","","","1","1","Parcels","Next day","21/08/2026","THE STATION BEARSDEN","01827 280880","G61 4AN"
"F181494","PO426","60120256465156","Delivered","","","1","1","Parcels","Next day","21/08/2026","GOOSE ROMFORD","01827 280880","RM1 1PL"
"F181494","PO426","60120256465139","Delivered","","","1","1","Parcels","Next day","21/08/2026","TOWN CRIER CHESTER","01827 280880","CH1 3AE"
"F181494","PO426","60120256465213","Delivered","","","1","1","Parcels","Next day","21/08/2026","GODDARD ARMS SWINDON","01827 280880","SN1 3EG"
"F181494","PO426","60120256465218","Delivered","","","1","1","Parcels","Next day","21/08/2026","HARROW INN CHEAM","01827 280880","SM3 8RL"
"F181494","PO426","60120256465110","Delivered","","","1","1","Parcels","Next day","21/08/2026","FATLING HORNCHURCH","01827 280880","RM11 1TX"
"F181494","PO426","60120256465441","Delivered","","","1","1","Parcels","Next day","21/08/2026","FIRST EDITION KILMARNOCK","01827 280880","KA1 1HA"
"F181494","PO426","60120256465129","Delivered","","","1","1","Parcels","Next day","21/08/2026","MACKINTOSH HOTEL CARDIFF","01827 280880","CF24 4BZ"
"F181494","PO426","60120256465174","Delivered","","","1","1","Parcels","Next day","21/08/2026","KETTON OX CLEVELAND","01827 280880","TS15 9AU"
"F181494","PO426","60120256465077","Delivered","","","1","1","Parcels","Next day","21/08/2026","YATES LIVERPOOL (QUEEN SQ)","01827 280880","L1 1RH"
"F181494","PO426","60120256465084","Delivered","","","1","1","Parcels","Next day","21/08/2026","THE BLUE BELL FULWELL","01827 280880","SR6 9AD"
"F181494","PO426","60120256465451","Delivered","","","1","1","Parcels","Next day","21/08/2026","GRAPES HOTEL FORMBY","01827 280880","L37 7DL"
"F181494","PO426","60120256465216","Delivered","","","1","1","Parcels","Next day","21/08/2026","ROYAL OAK HORFIELD","01827 280880","BS7 8TN"
"F181494","PO426","60120256465165","Delivered","","","1","1","Parcels","Next day","21/08/2026","WHITTINGTON STONE LONDON","01827 280880","N19 5NE"
"F181494","PO426","60120256465152","Delivered","","","1","1","Parcels","Next day","21/08/2026","FLUTE LIVERPOOL","01827 280880","L1 9AS"
"F181494","PO426","60120256465187","Delivered","","","1","1","Parcels","Next day","21/08/2026","AMBER ROSE EDINBURGH","01827 280880","EH2 4LS"
"F181494","PO426","60120256465214","Delivered","","","1","1","Parcels","Next day","21/08/2026","THE LIQUORIST PORTSMOUTH","01827 280880","PO1 3TW"
"F181494","PO426","60120256465150","Delivered","","","1","1","Parcels","Next day","21/08/2026","BROOKHOUSE LIVERPOOL","01827 280880","L15 5AE"
"F181494","PO426","60120256465097","Delivered","","","1","1","Parcels","Next day","21/08/2026","OLD POST OFFICE NEWARK","01827 280880","NG24 1AB"
"F181494","PO426","60120256465178","Delivered","","","1","1","Parcels","Next day","21/08/2026","GEORGE STAPLES SIDCUP","01827 280880","DA15 8PR"
"F181494","PO426","60120256465090","Delivered","","","1","1","Parcels","Next day","21/08/2026","OLD BANK SUTTON","01827 280880","SM1 1HN"
"F181494","PO426","60120256465076","Delivered","","","1","1","Parcels","Next day","21/08/2026","THE MERCHANT GLASGOW","01827 280880","G2 2HG"
"F181494","PO426","60120256465475","Delivered","","","1","1","Parcels","Next day","21/08/2026","NORTH END TAVERN ","01827 280880","KT4 8ST"
"F181494","PO426","60120256465062","Delivered","","","1","1","Parcels","Next day","21/08/2026","THE MERCHANT LEEDS","01827 280880","LS2 8LX"
"F181494","PO426","60120256465192","Delivered","","","1","1","Parcels","Next day","21/08/2026","BLIND BUSKER HOVE","01827 280880","BN3 2BB"
"F181494","PO426","60120256465079","Delivered","","","1","1","Parcels","Next day","21/08/2026","THE THREE BRIDGES DURHAM","01827 280880","DH1 4SQ"
"F181494","PO426","60120256465103","Delivered","","","1","1","Parcels","Next day","21/08/2026","YE OLDE GRIFFIN HOTEL MARCH","01827 280880","PE15 9JS"
"F181494","PO426","60120256465199","Delivered","","","1","1","Parcels","Next day","21/08/2026","LAMB & LION BATH","01827 280880","BA1 1QU"
"F181494","PO426","60120256465065","Delivered","","","1","1","Parcels","Next day","21/08/2026","BARLEY MOW WARRINGTON","01827 280880","WA1 1QB"
"F181494","PO426","60120256465488","Delivered","","","1","1","Parcels","Next day","21/08/2026","THE STONEBOW YORK","01827 280880","YO1 7NT"
"F181494","PO426","60120256465154","Delivered","","","1","1","Parcels","Next day","21/08/2026","GOSFORTH HOTEL NEWCASTLE UPON TYNE","01827 280880","NE3 1HQ"
"F181494","PO426","60120256465123","Delivered","","","1","1","Parcels","Next day","21/08/2026","THREE HORSE SHOES ROTHERHAM","01827 280880","S66 2BW"
"F181494","PO426","60120256465087","Delivered","","","1","1","Parcels","Next day","21/08/2026","WILLIAM MORGAN PRESTATYN","01827 280880","LL19 9AH"
