"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"F181494","356009","60120251163025","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS RFH","","SE1 8XX"
"F181494","356009","60120251162790","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS COVENTRY","","CV1 1LL"
"F181494","356009","60120251162786","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS CENTRE PARCS WOBURN","","MK45 2HZ"
"F181494","356009","60120251163014","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS PLYMOUTH","","PL4 0FE"
"F181494","356009","60120251162921","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS LAKESIDE","","RM20 2ZN"
"F181494","356009","60120251162708","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS BIRMINGHAM","","B5 4TD"
"F181494","356009","60120251163018","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS READING","","RG1 2AG"
"F181494","356009","60120251163453","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS CENTRE PARCS SHERWOOD","","NG22 9DD"
"F181494","356009","60120251162987","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS NEWCASTLE","","NE1 6AF"
"F181494","356009","60120251163023","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS RESORTS WORLD","","B40 1PU"
"F181494","356009","60120251163577","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS SWANSEA","","SA1 1AH"
"F181494","356009","60120251162712","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS BRIGHTON","","BN1 1GE"
"F181494","356009","60120251163429","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS CENTRE PARCS ","","IP27 0YZ"
"F181494","356009","60120251162787","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS CHELMSFORD","","CM1 1GD"
"F181494","356009","60120251163043","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS WATFORD","","WD17 2DJ"
"F181494","356009","60120251162979","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS LIVERPOOL","","L1 8JF"
"F181494","356009","60120251162983","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS MERMAID QUAY","","CF10 5BZ"
"F181494","356009","60120251162714","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS CAMBRIDGE","","CB5 8AB"
"F181494","356009","60120251162982","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS MEADOWHALL","","S9 1EP"
"F181494","356009","60120251162920","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS GUNWHARF QUAYS","","PO1 3SY"
"F181494","356009","60120251162909","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS DEANSGATE","","M3 2ER"
"F181494","356009","60120251163006","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS O2","","SE10 0DX"
"F181494","356009","60120251162985","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS MILTON KEYNES","","MK9 2FB"
"F181494","356009","60120251163049","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS WEMBLEY","","HA9 0FD"
"F181494","356009","60120251163511","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS GLASGOW","","G1 2PW"
"F181494","356009","60120251162904","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS CRIBBS CAUSEWAY","","BS10 7SR"
"F181494","356009","60120251162704","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS BATH","","BA1 1EN"
"F181494","356009","60120251163010","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS PETERBOROUGH","","PE1 1XB"
"F181494","356009","60120251162780","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS CARDIFF","","CF10 1FL"
"F181494","356009","60120251163220","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS BRACKNELL","","RG12 1AR"
"F181494","356009","60120251162923","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS LEEDS","","LS1 2HD"
"F181494","356009","60120251163544","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS NEWPORT","","NP20 1DS"
"F181494","356009","60120251162701","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS BASINGSTOKE","","RG21 7BB"
"F181494","356009","60120251162784","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS CENTRE PARCS LONGLEAT","","BA12 7PU"
"F181494","356009","60120251163037","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS SOUTHAMPTON","","SO15 1QF"
"F181494","356009","60120251163319","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS BRISTOL HARBOURSIDE","","BS1 5UH"
"F181494","356009","60120251163294","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS BRINDLEY PLACE","","B1 2HJ"
"F181494","356009","60120251163039","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS TEMPLE STREET","","B2 5DP"
"F181494","356009","60120251163632","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS TORQUAY","","TQ2 5FB"
"F181494","356009","60120251162776","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS CANTERBURY","","CT1 2JS"
"F181494","356009","60120251163056","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS YORK","","YO1 8AD"
"F181494","356009","60120251162709","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS BOLTON","","BL6 6JA"
"F181494","356009","60120251162926","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS LEICESTER","","LE1 6SL"
"F181494","356009","60120251162990","Delivered","","","1","3","Parcels","Next day","09/07/2026","LAS IGUANAS NOTTINGHAM","","NG1 6JS"
