"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"F181494","","60120252456286","In transit","21/07/2026","08:00 - 20:00","1","1","Bagit M","Next day","20/07/2026","FELSONS COCKTAIL LOUNGE","","G2 3AL"
"F181494","","60120252456352","Out for delivery","21/07/2026","12:18 - 13:18","1","2","Bagit M","Next day","20/07/2026","THE PLOUGH","","IP4 1AD"
"F181494","","60120252457189","Delivered","","","1","2","Bagit L","Next day","20/07/2026","QUEENS HEAD","","DE72 3RN"
"F181494","","60120252456432","In transit","21/07/2026","08:00 - 20:00","1","2","Bagit M","Next day","20/07/2026","OLD SMIDDY","","G44 5TJ"
"F181494","","60120252456570","Out for delivery","21/07/2026","13:51 - 14:51","1","3","Bagit L","Next day","20/07/2026","THE FAMOUS OLD POST OFFICE","","NG24 1AB"
"F181494","","60120252457087","Out for delivery","21/07/2026","14:11 - 15:11","1","2","Bagit L","Next day","20/07/2026","GRAPES HOTEL","","L37 7DL"
"F181494","","60120252456736","In transit","21/07/2026","08:00 - 20:00","1","2","Bagit L","Next day","20/07/2026","THE INN","","G61 4AN"
"F181494","","60120252456979","In transit","21/07/2026","08:00 - 20:00","1","2","Bagit L","Next day","20/07/2026","WALKABOUT INN","","BS1 1HQ"
"F181494","REQUEST","60120252424143","Delivered","","","2","3","Parcels","Next day","20/07/2026","BELLA ITALIA","","LS11 8LU"
"F181494","309610","60120252426377","In transit","21/07/2026","08:00 - 20:00","1","3","Parcels","Next day","20/07/2026","BELLA ITALIA","","SS14 3WB"
"F181494","","60120252456658","In transit","21/07/2026","08:00 - 20:00","1","2","Bagit L","Next day","20/07/2026","YATES","","FY1 1ET"
"F181494","","60120252456836","In transit","21/07/2026","08:00 - 20:00","1","3","Bagit L","Next day","20/07/2026","STAPYLTON ARMS","","TS6 9DY"
"F181494","","60120252457271","In transit","21/07/2026","08:00 - 20:00","1","2","Bagit L","Next day","20/07/2026","THE WALDORF MANCHESTER LLP","","M1 3AQ"
