"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"I170255","KEP 16 07 26","30222218722913","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","SAILORS ARMS NEWQUAY","","TR7 1HB"
"I170255","KEP 16 07 26","30222218722933","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","WALKABOUT NEWQUAY","","TR7 1DS"
"I170255","KEP 16 07 26","30222218722862","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","MIDSUMMER TAP MILTON KEYNES","","MK9 3PU"
"I170255","KEP 16 07 26","30222218722954","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","SWAN WEST WICKHAM","","BR4 0NJ"
"I170255","KEP 16 07 26","30222218722916","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","ALBERT HOTEL LIVERPOOL","","L17 8UU"
"I170255","KEP 16 07 26","30222218722831","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","AMBER ROSE EDINBURGH","","EH2 4LS"
"I170255","KEP 16 07 26","30222218722937","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","HANOVER TAP EDINBURGH","","EH2 1DR"
"I170255","KEP 16 07 26","30222218722900","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THREE HORSE SHOES ROTHERHAM","","S66 2BW"
"I170255","KEP 16 07 26","30222218722943","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","HOGSHEAD WOLVERHAMPTON","","WV1 1NA"
"I170255","KEP 16 07 26","30222218722911","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","YATES YORK","","YO1 9QT"
"I170255","KEP 16 07 26","30222218722960","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THE OLD BANK YORK","","YO1 8AA"
"I170255","KEP 16 07 26","30222218722923","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","BRISTOL PEAR BIRMINGHAM","","B29 6BJ"
"I170255","KEP 16 07 26","30222218722858","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","GOOSE SELLY OAK","","B29 6AF"
"I170255","KEP 16 07 26","30222218722963","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THE STONEBOW YORK","","YO1 7NT"
"I170255","KEP 16 07 26","30222218722872","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","TANK AND PADDLE YORK","","YO1 6DD"
"I170255","KEP 16 07 26","30222218722833","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","OLD BELL KILBURN LONDON","","NW6 5UA"
"I170255","KEP 16 07 26","30222218722924","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","BUCKS HEAD LONDON","","NW1 8QR"
"I170255","KEP 16 07 26","30222218722870","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","STATION MASTER MARYLEBONE","","NW1 6JJ"
"I170255","KEP 16 07 26","30222218722887","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THE TWO WILLOWS WELWYN GARDEN","","AL8 6AL"
"I170255","KEP 16 07 26","30222218722920","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","BAR HOME LICHFIELD","","WS13 6PW"
"I170255","KEP 16 07 26","30222218722931","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","EARL OF CAMDEN","","NW1 7PN"
"I170255","KEP 16 07 26","30222218722886","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THE THREE LANTERNS LEICESTER SQUARE","","WC2H 7BG"
"I170255","KEP 16 07 26","30222218722897","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","WALKABOUT BRISTOL","","BS1 1HQ"
"I170255","KEP 16 07 26","30222218722885","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THE STATION TAP WOKINGHAM","","RG40 2AD"
"I170255","KEP 16 07 26","30222218722852","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","FLUTE LIVERPOOL","","L1 9AS"
"I170255","KEP 16 07 26","30222218722928","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","HOPE & ANCHOR LIVERPOOL","","L1 9DE"
"I170255","KEP 16 07 26","30222218722908","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","YATES LIVERPOOL (QUEEN SQ)","","L1 1RH"
"I170255","KEP 16 07 26","30222218722871","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","STATION SUTTON COLDFIELD","","B73 6AT"
"I170255","KEP 16 07 26","30222218722841","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","BLUEBELL HOTEL MIDDLESBROUGH","","TS5 7HL"
"I170255","KEP 16 07 26","30222218722855","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","GEORGE STAPLES SIDCUP","","DA15 8PR"
"I170255","KEP 16 07 26","30222218722832","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","OLD POST OFFICE NEWARK","","NG24 1AB"
"I170255","KEP 16 07 26","30222218722835","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","BARLEY MOW WARRINGTON","","WA1 1QB"
"I170255","KEP 16 07 26","30222218722876","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THE CENTURION COLCHESTER","","CO1 1PX"
"I170255","KEP 16 07 26","30222218722901","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","TOWN CRIER CHESTER","","CH1 3AE"
"I170255","KEP 16 07 26","30222218722848","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","FARMERS ARMS HOTEL LIVERPOOL","","L13 9BL"
"I170255","KEP 16 07 26","30222218722940","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","KEYSTONES YORK","","YO31 7PE"
"I170255","KEP 16 07 26","30222218722860","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","ABBEY INN PAISLEY","","PA2 7JF"
"I170255","KEP 16 07 26","30222218722939","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","HYDE PARK HOTEL LEEDS","","LS6 2AS"
"I170255","KEP 16 07 26","30222218722898","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","WALKABOUT BIRMINGHAM","","B1 2DS"
"I170255","KEP 16 07 26","30222218722948","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","ROSE BEDFORD","","MK40 1RY"
"I170255","KEP 16 07 26","30222218722844","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","BROOKHOUSE LIVERPOOL","","L15 5AE"
"I170255","KEP 16 07 26","30222218722873","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","TEMPERANCE FULHAM","","SW6 3LF"
"I170255","KEP 16 07 26","30222218722823","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","LAMB & LION BATH","","BA1 1QU"
"I170255","KEP 16 07 26","30222218722849","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","FARTHINGS CASTLE BROMWICH","","B36 0AY"
"I170255","KEP 16 07 26","30222218722851","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","FIRST EDITION KILMARNOCK","","KA1 1HA"
"I170255","KEP 16 07 26","30222218722816","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","GRAPES HOTEL FORMBY","","L37 7DL"
"I170255","KEP 16 07 26","30222218722912","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","YE OLDE GRIFFIN HOTEL MARCH","","PE15 9JS"
"I170255","KEP 16 07 26","30222218722909","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","YATES MANCHESTER","","M1 3LD"
"I170255","KEP 16 07 26","30222218722902","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","WALDORF MANCHESTER","","M1 3AQ"
"I170255","KEP 16 07 26","30222218722883","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THE SOUTHFIELD MIDDLESBROUGH","","TS1 3BZ"
"I170255","KEP 16 07 26","30222218722892","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","WOODVILLE CARDIFF","","CF24 4DW"
"I170255","KEP 16 07 26","30222218722826","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","MACKINTOSH HOTEL CARDIFF","","CF24 4BZ"
"I170255","KEP 16 07 26","30222218722910","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","YATES NEWCASTLE-U-LYME","","ST5 1RF"
"I170255","KEP 16 07 26","30222218722861","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","MARQUIS OF WELLINGTON BERMONDSEY","","SE1 2HH"
"I170255","KEP 16 07 26","30222218722946","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","PLOUGH IPSWICH","","IP4 1AD"
"I170255","KEP 16 07 26","30222218722882","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THE RULE ST ANDREWS","","KY16 9QD"
"I170255","KEP 16 07 26","30222218722827","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","NETHER INN DUNDEE","","DD1 4ED"
"I170255","KEP 16 07 26","30222218722888","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THE WHITECROSS TAP LONDON","","EC1Y 8QJ"
"I170255","KEP 16 07 26","30222218722840","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","BLIND BUSKER HOVE","","BN3 2BB"
"I170255","KEP 16 07 26","30222218722950","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","SADDLE INN BLACKPOOL","","FY3 9PH"
"I170255","KEP 16 07 26","30222218722945","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","PIT & PENDULUM NOTTINGHAM","","NG1 2EW"
"I170255","KEP 16 07 26","30222218722894","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","HUDDL NOTTINGHAM","","NG1 2HW"
"I170255","KEP 16 07 26","30222218722959","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","THE MERCHANT LEEDS","","LS2 8LX"
"I170255","KEP 16 07 26","30222218722921","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","BEECH INN CHORLTON-HARDY","","M21 9EG"
"I170255","KEP 16 07 26","30222218722822","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","KETTON OX CLEVELAND","","TS15 9AU"
"I170255","KEP 16 07 26","30222218722952","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","STATION INN WHITBY","","YO21 1DH"
"I170255","KEP 16 07 26","30222218722889","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","VICTORIA TAPS","","SW1V 1HP"
"I170255","KEP 16 07 26","30222218722951","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","STAPYLTON ARMS MIDDLESBROUGH","","TS6 9DY"
"I170255","KEP 16 07 26","30222218722903","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","HOP POLES LONDON","","W6 9HR"
"I170255","KEP 16 07 26","30222218722836","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","BECKFIELDS STOCKTON ON TEES","","TS17 0QA"
"I170255","KEP 16 07 26","30222218722818","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","GREAT STONE INN BIRMINGHAM","","B31 2LU"
"I170255","KEP 16 07 26","30222218722853","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","FOUNDRY ABERDEEN","","AB10 6BR"
"I170255","KEP 16 07 26","30222218722914","In transit","17/07/2026","08:00 - 20:00","2","62","Parcels","Next day","16/07/2026","ADELPHI PRESTON","","PR1 7DP"
