"Accounts","Customer reference","Shipment number","Status","Delivery due date","ETA","Number of parcels","Weight","Product","Service","Dispatch date","Business/Recipient name","Contact number","Postal Code"
"F181494","JULY 26 PO289","60120251754187","In transit","17/07/2026","08:00 - 20:00","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BRISTOL CR","01827280880","BS10 7SR"
"F181494","JULY 26 PO289","60120251753506","In transit","17/07/2026","08:00 - 20:00","1","1","Parcels","Next day","14/07/2026","FB BRISTOL CRIBBS","01827280880","BS10 7SR"
"F181494","JULY 26 PO289","60120251753553","In transit","15/07/2026","08:00 - 20:00","1","1","Parcels","Next day","14/07/2026","FB ROTHERHAM","01827280880","S60 1TG"
"F181494","JULY 26 PO289","60120251753567","Exception","15/07/2026","08:00 - 20:00","1","1","Parcels","Next day","14/07/2026","FB GLASGOW FORT","01827280880","G34 9DY"
"F181494","JULY 26 PO289","60120251753545","Exception","15/07/2026","08:00 - 20:00","1","1","Parcels","Next day","14/07/2026","FB ROCHESTER","01827280880","ME2 2SS"
"F181494","JULY 26 PO289","60120251753302","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - EXETER","01827280880","EX4 3RP"
"F181494","JULY 26 PO289","60120251753581","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB BROUGHTON","01827280880","CH4 0DP"
"F181494","JULY 26 PO289","60120251753332","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - MANSFIELD","01827280880","NG18 1BU"
"F181494","JULY 26 PO289","60120251753580","Delivered","","","1","1","Parcels","48 hours","14/07/2026","FB INVERNESS","01827280880","IV2 7GD"
"F181494","JULY 26 PO289","60120251753544","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB PORTSMOUTH","01827280880","PO1 3TU"
"F181494","JULY 26 PO289","60120251753576","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB RENFREW","01827280880","PA4 8XQ"
"F181494","JULY 26 PO289","60120251753480","Delivered","","","1","1","Parcels","Next day","14/07/2026","CENTER PARCS SHERWOOD","01827280880","NG22 9DN"
"F181494","JULY 26 PO289","60120251753355","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - PORTSMOUTH","01827280880","PO1 3TA"
"F181494","JULY 26 PO289","60120251753527","Delivered","","","1","1","Parcels","Next day","14/07/2026","FB LIVERPOOL SHOPPING PAR","01827280880","L13 1FA"
"F181494","JULY 26 PO289","60120251753258","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - BRIGHTON M","01827280880","BN1 1HH"
"F181494","JULY 26 PO289","60120251753425","Delivered","","","1","1","Parcels","Next day","14/07/2026","BELLA ITALIA - ST MARTIN'","01827280880","WC2N 4JS"
